iter	MAPE
0	0.2188160156
1	0.2048287891
2	0.1973581055
3	0.1922083789
4	0.1893574023
5	0.1875579492
6	0.1863580859
7	0.1857158398
8	0.1851702148
9	0.1848698828
10	0.1846875977
11	0.1845880273
12	0.1845412109
13	0.1844740625
14	0.1844470117
15	0.1844063477
16	0.1843457031
17	0.1843383984
18	0.1843341016
19	0.1843182422
20	0.1843138281
21	0.1843024805
22	0.1843007031
23	0.1842985742
24	0.1842849805
25	0.1842803711
26	0.1842471094
27	0.1842454492
28	0.1842371484
29	0.1842348633
30	0.1842334375
31	0.1842257031
32	0.1842230469
33	0.1842211914
34	0.1842201953
35	0.1842192383
36	0.1842176367
37	0.1842173047
38	0.184217168
39	0.1842167773
40	0.1842161133
41	0.184215918
42	0.1842158984
43	0.1842126172
44	0.1841796289
45	0.1841727539
46	0.1841726953
47	0.1841706445
48	0.1841701562
49	0.1841697266
50	0.1841689062
51	0.1841686719
52	0.1841664844
53	0.1841662891
54	0.1841662305
55	0.184151875
56	0.1841517578
57	0.1841313867
58	0.1841194727
59	0.184112793
60	0.1841127539
61	0.184109707
62	0.184109375
63	0.1841093945
64	0.1841058594
65	0.1841057227
66	0.184105625
67	0.1841056055
68	0.1840962695
69	0.18409625
70	0.1840953516
71	0.1840941016
72	0.184094043
73	0.1840935938
74	0.1840837109
75	0.1840835547
76	0.184070293
77	0.1840664453
78	0.1840641406
79	0.1840627344
80	0.1840620703
81	0.1840601562
82	0.1840593164
83	0.1840491406
84	0.1840478906
85	0.1840467578
86	0.1840449414
87	0.1840438672
88	0.1840432031
89	0.1840427344
90	0.1840424414
91	0.1840420312
92	0.1840409961
93	0.1840408008
94	0.1840407031
95	0.1840263477
96	0.1840255273
97	0.1840250391
98	0.1840245508
99	0.1840242383
100	0.1840239453
101	0.1840237891
102	0.1840236328
103	0.1840235547
104	0.1840156445
105	0.1840151367
106	0.1840150781
107	0.1840140234
108	0.1840136914
109	0.1840136914
110	0.1840136914
111	0.1840120703
112	0.1840117187
113	0.184011543
114	0.1840112695
115	0.1840111719
116	0.1840110156
117	0.1840110156
118	0.184010957
119	0.184010957
120	0.184010957
121	0.184010918
122	0.1840109375
123	0.184010918
124	0.1840052734
125	0.1840052539
126	0.1840052344
127	0.1840052344
128	0.1840052539
129	0.1840052148
130	0.1840051758
131	0.1840022266
132	0.1840021484
133	0.1840021484
134	0.1840021484
135	0.1840003711
136	0.1839999609
137	0.1839999414
138	0.1839999219
139	0.1839999219
140	0.1839999023
141	0.1839997461
142	0.1839996875
143	0.1839983594
144	0.1839983203
145	0.1839983398
146	0.1839983203
147	0.1839983203
148	0.1839983203
149	0.1839982813
150	0.1839983008
151	0.1839982813
152	0.1839982813
153	0.1839983008
154	0.1839979297
155	0.1839976758
156	0.1839975977
157	0.1839975781
158	0.1839975
159	0.1839974805
160	0.1839974805
161	0.1839974805
162	0.1839974609
163	0.1839974609
164	0.1839974609
165	0.1839967969
166	0.1839967969
167	0.1839963672
168	0.1839963477
169	0.1839963672
170	0.1839963672
171	0.1839963867
172	0.1839963672
173	0.18399625
174	0.1839962305
175	0.1839962305
176	0.1839962305
177	0.1839962109
178	0.1839961914
179	0.18399625
180	0.1839962305
181	0.18399625
182	0.1839962109
183	0.1839958984
184	0.1839958008
185	0.1839957617
186	0.1839956641
187	0.1839956445
188	0.1839956445
189	0.1839955664
190	0.1839954883
191	0.1839955078
192	0.1839951563
193	0.1839948047
194	0.1839946094
195	0.1839946289
196	0.1839944922
197	0.1839942383
198	0.1839941992
199	0.1839941602
