iter	Passed	Remaining
0	20	4058
1	40	3968
2	59	3930
3	79	3885
4	97	3784
5	116	3780
6	137	3788
7	157	3784
8	177	3759
9	196	3733
10	215	3704
11	234	3681
12	254	3660
13	274	3642
14	293	3621
15	313	3599
16	332	3582
17	352	3562
18	371	3537
19	395	3563
20	418	3563
21	438	3548
22	462	3555
23	480	3523
24	501	3508
25	522	3499
26	543	3485
27	565	3476
28	588	3472
29	610	3460
30	632	3447
31	655	3440
32	676	3424
33	699	3413
34	720	3398
35	742	3384
36	764	3367
37	785	3349
38	805	3326
39	830	3320
40	851	3302
41	874	3289
42	900	3287
43	924	3278
44	948	3268
45	970	3247
46	997	3246
47	1020	3231
48	1041	3210
49	1063	3190
50	1085	3170
51	1107	3151
52	1129	3133
53	1151	3113
54	1171	3088
55	1194	3072
56	1220	3062
57	1242	3043
58	1264	3021
59	1286	3002
60	1308	2982
61	1331	2963
62	1354	2946
63	1376	2924
64	1397	2902
65	1419	2882
66	1441	2860
67	1465	2845
68	1492	2834
69	1514	2812
70	1534	2787
71	1556	2766
72	1576	2743
73	1598	2720
74	1619	2698
75	1643	2681
76	1664	2659
77	1686	2638
78	1707	2615
79	1728	2592
80	1749	2570
81	1770	2547
82	1792	2526
83	1813	2504
84	1833	2481
85	1856	2460
86	1878	2439
87	1899	2417
88	1923	2399
89	1944	2376
90	1965	2353
91	1988	2334
92	2010	2313
93	2031	2290
94	2055	2271
95	2077	2250
96	2098	2228
97	2121	2208
98	2143	2186
99	2165	2165
100	2193	2150
101	2217	2131
102	2240	2110
103	2262	2088
104	2284	2067
105	2306	2045
106	2328	2023
107	2349	2001
108	2371	1980
109	2392	1957
110	2415	1936
111	2435	1913
112	2457	1892
113	2479	1870
114	2499	1847
115	2522	1826
116	2544	1805
117	2564	1782
118	2587	1761
119	2608	1739
120	2630	1717
121	2652	1696
122	2673	1673
123	2695	1651
124	2716	1629
125	2737	1607
126	2759	1586
127	2781	1564
128	2803	1542
129	2824	1521
130	2846	1499
131	2868	1477
132	2890	1456
133	2913	1434
134	2934	1412
135	2956	1391
136	2979	1369
137	2999	1347
138	3021	1325
139	3042	1304
140	3063	1281
141	3085	1260
142	3108	1238
143	3133	1218
144	3156	1197
145	3177	1175
146	3197	1152
147	3219	1131
148	3239	1108
149	3260	1086
150	3281	1064
151	3302	1042
152	3324	1021
153	3345	999
154	3366	977
155	3389	956
156	3411	934
157	3431	912
158	3454	890
159	3474	868
160	3495	846
161	3517	825
162	3538	803
163	3559	781
164	3580	759
165	3602	737
166	3628	716
167	3659	697
168	3685	675
169	3706	654
170	3727	632
171	3749	610
172	3770	588
173	3791	566
174	3812	544
175	3834	522
176	3855	500
177	3878	479
178	3899	457
179	3922	435
180	3944	414
181	3965	392
182	3987	370
183	4008	348
184	4029	326
185	4052	304
186	4073	283
187	4093	261
188	4115	239
189	4136	217
190	4157	195
191	4179	174
192	4200	152
193	4221	130
194	4242	108
195	4265	87
196	4292	65
197	4314	43
198	4335	21
199	4356	0
